Running HiGHS 1.1.1 [date: , git hash: ]
Copyright (c) 2021 ERGO-Code under MIT licence terms
LP   qap04 has 104 rows; 88 cols; 416 nonzeros
ICrashOptions 
dualize: false
strategy: Penalty
starting_weight: 1.000000e-03
iterations: 200
approximate_minimization_iterations: 100
breakpoints: false

Iteration   0: objective 0.00 residual 8.00e+00
Iter   1, mu 0.001, c'x 4.60265e+92, res 3.40575e+183, quad_obj 1.70287e+186
Iter   2, mu 0.0001, c'x 5.27596e+184, res inf, quad_obj inf
Iter   3, mu 1e-05, c'x 6.04776e+276, res inf, quad_obj inf
Iter   4, mu 1e-06, c'x nan, res nan, quad_obj nan
Iter   5, mu 1e-07, c'x nan, res nan, quad_obj nan
Iter   6, mu 1e-08, c'x nan, res nan, quad_obj nan
Iter   7, mu 1e-09, c'x nan, res nan, quad_obj nan
Iter   8, mu 1e-10, c'x nan, res nan, quad_obj nan
Iter   9, mu 1e-11, c'x nan, res nan, quad_obj nan
Iter  10, mu 1e-12, c'x nan, res nan, quad_obj nan
Iter  11, mu 1e-13, c'x nan, res nan, quad_obj nan
Iter  12, mu 1e-14, c'x nan, res nan, quad_obj nan
Iter  13, mu 1e-15, c'x nan, res nan, quad_obj nan
Iter  14, mu 1e-16, c'x nan, res nan, quad_obj nan
Iter  15, mu 1e-17, c'x nan, res nan, quad_obj nan
Iter  16, mu 1e-18, c'x nan, res nan, quad_obj nan
Iter  17, mu 1e-19, c'x nan, res nan, quad_obj nan
Iter  18, mu 1e-20, c'x nan, res nan, quad_obj nan
Iter  19, mu 1e-21, c'x nan, res nan, quad_obj nan
Iter  20, mu 1e-22, c'x nan, res nan, quad_obj nan
Iter  21, mu 1e-23, c'x nan, res nan, quad_obj nan
Iter  22, mu 1e-24, c'x nan, res nan, quad_obj nan
Iter  23, mu 1e-25, c'x nan, res nan, quad_obj nan
Iter  24, mu 1e-26, c'x nan, res nan, quad_obj nan
Iter  25, mu 1e-27, c'x nan, res nan, quad_obj nan
Iter  26, mu 1e-28, c'x nan, res nan, quad_obj nan
Iter  27, mu 1e-29, c'x nan, res nan, quad_obj nan
Iter  28, mu 1e-30, c'x nan, res nan, quad_obj nan
Iter  29, mu 1e-31, c'x nan, res nan, quad_obj nan
Iter  30, mu 1e-32, c'x nan, res nan, quad_obj nan
Iter  31, mu 1e-33, c'x nan, res nan, quad_obj nan
Iter  32, mu 1e-34, c'x nan, res nan, quad_obj nan
Iter  33, mu 1e-35, c'x nan, res nan, quad_obj nan
Iter  34, mu 1e-36, c'x nan, res nan, quad_obj nan
Iter  35, mu 1e-37, c'x nan, res nan, quad_obj nan
Iter  36, mu 1e-38, c'x nan, res nan, quad_obj nan
Iter  37, mu 1e-39, c'x nan, res nan, quad_obj nan
Iter  38, mu 1e-40, c'x nan, res nan, quad_obj nan
Iter  39, mu 1e-41, c'x nan, res nan, quad_obj nan
Iter  40, mu 1e-42, c'x nan, res nan, quad_obj nan
Iter  41, mu 1e-43, c'x nan, res nan, quad_obj nan
Iter  42, mu 1e-44, c'x nan, res nan, quad_obj nan
Iter  43, mu 1e-45, c'x nan, res nan, quad_obj nan
Iter  44, mu 1e-46, c'x nan, res nan, quad_obj nan
Iter  45, mu 1e-47, c'x nan, res nan, quad_obj nan
Iter  46, mu 1e-48, c'x nan, res nan, quad_obj nan
Iter  47, mu 1e-49, c'x nan, res nan, quad_obj nan
Iter  48, mu 1e-50, c'x nan, res nan, quad_obj nan
Iter  49, mu 1e-51, c'x nan, res nan, quad_obj nan
Iter  50, mu 1e-52, c'x nan, res nan, quad_obj nan
Iter  51, mu 1e-53, c'x nan, res nan, quad_obj nan
Iter  52, mu 1e-54, c'x nan, res nan, quad_obj nan
Iter  53, mu 1e-55, c'x nan, res nan, quad_obj nan
Iter  54, mu 1e-56, c'x nan, res nan, quad_obj nan
Iter  55, mu 1e-57, c'x nan, res nan, quad_obj nan
Iter  56, mu 1e-58, c'x nan, res nan, quad_obj nan
Iter  57, mu 1e-59, c'x nan, res nan, quad_obj nan
Iter  58, mu 1e-60, c'x nan, res nan, quad_obj nan
Iter  59, mu 1e-61, c'x nan, res nan, quad_obj nan
Iter  60, mu 1e-62, c'x nan, res nan, quad_obj nan
Iter  61, mu 1e-63, c'x nan, res nan, quad_obj nan
Iter  62, mu 1e-64, c'x nan, res nan, quad_obj nan
Iter  63, mu 1e-65, c'x nan, res nan, quad_obj nan
Iter  64, mu 1e-66, c'x nan, res nan, quad_obj nan
Iter  65, mu 1e-67, c'x nan, res nan, quad_obj nan
Iter  66, mu 1e-68, c'x nan, res nan, quad_obj nan
Iter  67, mu 1e-69, c'x nan, res nan, quad_obj nan
Iter  68, mu 1e-70, c'x nan, res nan, quad_obj nan
Iter  69, mu 1e-71, c'x nan, res nan, quad_obj nan
Iter  70, mu 1e-72, c'x nan, res nan, quad_obj nan
Iter  71, mu 1e-73, c'x nan, res nan, quad_obj nan
Iter  72, mu 1e-74, c'x nan, res nan, quad_obj nan
Iter  73, mu 1e-75, c'x nan, res nan, quad_obj nan
Iter  74, mu 1e-76, c'x nan, res nan, quad_obj nan
Iter  75, mu 1e-77, c'x nan, res nan, quad_obj nan
Iter  76, mu 1e-78, c'x nan, res nan, quad_obj nan
Iter  77, mu 1e-79, c'x nan, res nan, quad_obj nan
Iter  78, mu 1e-80, c'x nan, res nan, quad_obj nan
Iter  79, mu 1e-81, c'x nan, res nan, quad_obj nan
Iter  80, mu 1e-82, c'x nan, res nan, quad_obj nan
Iter  81, mu 1e-83, c'x nan, res nan, quad_obj nan
Iter  82, mu 1e-84, c'x nan, res nan, quad_obj nan
Iter  83, mu 1e-85, c'x nan, res nan, quad_obj nan
Iter  84, mu 1e-86, c'x nan, res nan, quad_obj nan
Iter  85, mu 1e-87, c'x nan, res nan, quad_obj nan
Iter  86, mu 1e-88, c'x nan, res nan, quad_obj nan
Iter  87, mu 1e-89, c'x nan, res nan, quad_obj nan
Iter  88, mu 1e-90, c'x nan, res nan, quad_obj nan
Iter  89, mu 1e-91, c'x nan, res nan, quad_obj nan
Iter  90, mu 1e-92, c'x nan, res nan, quad_obj nan
Iter  91, mu 1e-93, c'x nan, res nan, quad_obj nan
Iter  92, mu 1e-94, c'x nan, res nan, quad_obj nan
Iter  93, mu 1e-95, c'x nan, res nan, quad_obj nan
Iter  94, mu 1e-96, c'x nan, res nan, quad_obj nan
Iter  95, mu 1e-97, c'x nan, res nan, quad_obj nan
Iter  96, mu 1e-98, c'x nan, res nan, quad_obj nan
Iter  97, mu 1e-99, c'x nan, res nan, quad_obj nan
Iter  98, mu 1e-100, c'x nan, res nan, quad_obj nan
