param:       W           C    :=
 1  1        0.          0
 1  2     6469.   576.9631
 1  3     7629.   946.4954
 1  4    20036.   597.5972
 1  5     4690.   373.8127
 1  6     6194.   559.7673
 1  7    11688.   709.0215
 1  8     2243.   1208.328
 1  9     8857.   603.6477
 1 10     7248.    695.208
 1 11     3559.    680.709
 1 12     9221.   1936.572
 1 13    10099.   332.4644
 1 14    22866.   592.5679
 1 15     3388.   908.7715
 1 16     9986.   426.1877
 1 17    46618.   756.1987
 1 18    11639.   672.5906
 1 19     1380.   1590.224
 1 20     5261.   527.3008
 1 21     5985.   483.4673
 1 22     6731.   2140.978
 1 23     2704.   2184.402
 1 24    12250.   408.1648
 1 25    16132.   540.7388
 2  1     6469.   576.9631
 2  2        0.          0
 2  3    12999.   369.5327
 2  4    13692.   613.0386
 2  5     3322.   429.1079
 2  6     5576.   312.8831
 2  7     3878.   1196.489
 2  8     3202.    1502.14
 2  9     6699.   405.8975
 2 10     4198.   1241.961
 2 11     2454.   960.3459
 2 12     7975.   2318.076
 2 13     1186.   786.5959
 2 14     7443.   949.5669
 2 15     1162.   938.7461
 2 16     5105.   999.5005
 2 17    24817.   179.2426
 2 18     6532.    96.2744
 2 19      806.   1999.584
 2 20     8184.   210.7656
 2 21     3896.   736.3755
 2 22     7333.   2456.263
 2 23     3719.   2339.509
 2 24     2015.   844.1663
 2 25      565.    36.4947
 3  1     7629.   946.4954
 3  2    12999.   369.5327
 3  3        0.          0
 3  4    35135.   858.3308
 3  5     5956.   749.6018
 3  6    14121.   556.0706
 3  7     5951.   1541.273
 3  8     5768.   1764.791
 3  9    16578.   621.3306
 3 10     4242.   1603.165
 3 11     3365.   1250.962
 3 12    22254.   2600.078
 3 13     1841.   1137.335
 3 14    23665.   1266.851
 3 15     6517.   1124.778
 3 16     3541.   1368.267
 3 17   205088.   190.3157
 3 18    37669.   274.3105
 3 19     2885.   2299.429
 3 20    13200.   494.2224
 3 21     7116.   1043.484
 3 22    17165.   2703.402
 3 23     4284.   2503.828
 3 24     8085.   1188.549
 3 25    51895.   405.7886
 4  1    20036.   597.5972
 4  2    13692.   613.0386
 4  3    35135.   858.3308
 4  4        0.          0
 4  5    19094.   255.0303
 4  6    35119.   311.3071
 4  7    21423.   790.1213
 4  8    27342.   907.4331
 4  9    51341.   237.0703
 4 10    15826.   932.2173
 4 11    28537.   406.3386
 4 12    65387.   1741.873
 4 13    12980.   485.5564
 4 14    44097.   1186.858
 4 15    51525.   345.8738
 4 16    14354.   830.3635
 4 17   172895.   720.4687
 4 18    37305.   675.3437
 4 19    15418.   1447.104
 4 20    26221.   403.8657
 4 21    42303.   255.8823
 4 22    35303.   1853.617
 4 23    13618.   1733.132
 4 24    17580.   1005.761
 4 25    40708.   592.0278
 5  1     4690.   373.8127
 5  2     3322.   429.1079
 5  3     5956.   749.6018
 5  4    19094.   255.0303
 5  5        0.          0
 5  6     7284.   225.8954
 5  7     3102.   794.1726
 5  8     1562.   1080.374
 5  9     7180.    238.944
 5 10     1917.   879.5647
 5 11     2253.    533.156
 5 12     5951.   1889.528
 5 13     1890.   402.3291
 5 14     7097.   947.3188
 5 15     2009.    598.541
 5 16     1340.   700.4368
