instance,kernel,variant,reps,min_ns,median_ns,mean_ns,stddev_ns
adlittle.mps,build,-,2000,9976,10641,11606.4,4113.0
adlittle.mps,ftranCall,hyper_sparse,200000,299,329,349.1,425.8
adlittle.mps,ftranCall,sparse,200000,272,295,308.2,290.4
adlittle.mps,ftranCall,dense,182155,489,530,549.0,447.7
adlittle.mps,btranCall,hyper_sparse,200000,78,83,86.5,163.4
adlittle.mps,btranCall,sparse,200000,267,290,304.7,353.3
adlittle.mps,btranCall,dense,172030,521,561,581.3,483.4
adlittle.mps,product,colwise,200000,285,300,320.2,356.1
adlittle.mps,productTranspose,colwise,200000,261,266,278.8,310.4
adlittle.mps,priceByColumn,sparse_5pct,200000,279,286,297.8,373.7
adlittle.mps,priceByColumn,dense,200000,335,359,379.4,432.3
adlittle.mps,priceByRow,sparse_5pct,200000,71,77,80.8,182.0
adlittle.mps,priceByRow,dense,104343,872,929,958.4,859.8
adlittle.mps,saxpy,a25_b1,500000,50,54,55.6,149.0
adlittle.mps,saxpy,a25_b5,500000,52,56,58.1,148.0
adlittle.mps,saxpy,a50_b25,500000,69,74,77.1,159.1
afiro.mps,build,-,2000,3973,4246,4434.8,1561.9
afiro.mps,ftranCall,hyper_sparse,200000,81,88,92.5,174.9
afiro.mps,ftranCall,sparse,200000,71,75,78.7,176.9
afiro.mps,ftranCall,dense,200000,224,236,246.7,279.2
afiro.mps,btranCall,hyper_sparse,200000,98,107,113.0,328.8
afiro.mps,btranCall,sparse,200000,99,108,116.1,205.3
afiro.mps,btranCall,dense,200000,234,251,263.7,426.5
afiro.mps,product,colwise,200000,101,106,109.4,197.0
afiro.mps,productTranspose,colwise,200000,94,97,103.2,353.6
afiro.mps,priceByColumn,sparse_5pct,200000,95,99,102.7,212.9
afiro.mps,priceByColumn,dense,200000,117,122,127.0,222.6
afiro.mps,priceByRow,sparse_5pct,200000,84,94,100.6,205.5
afiro.mps,priceByRow,dense,200000,275,293,308.0,391.4
afiro.mps,saxpy,a25_b1,500000,40,43,44.1,116.4
afiro.mps,saxpy,a25_b5,500000,40,43,44.6,137.8
afiro.mps,saxpy,a50_b25,500000,49,54,56.1,139.4
e226.mps,build,-,2000,36358,38106,39830.4,5530.0
e226.mps,ftranCall,hyper_sparse,94765,969,1024,1055.2,585.9
e226.mps,ftranCall,sparse,75117,1222,1297,1331.3,631.1
e226.mps,ftranCall,dense,45087,2027,2154,2218.0,841.4
e226.mps,btranCall,hyper_sparse,200000,93,102,107.0,207.1
e226.mps,btranCall,sparse,68325,1355,1422,1463.6,672.9
e226.mps,btranCall,dense,40954,2174,2336,2441.8,1736.6
e226.mps,product,colwise,62378,1468,1548,1603.1,698.5
e226.mps,productTranspose,colwise,72334,1305,1347,1382.5,616.6
e226.mps,priceByColumn,sparse_5pct,66701,1398,1460,1499.2,648.8
e226.mps,priceByColumn,dense,62418,1515,1537,1602.1,1011.4
e226.mps,priceByRow,sparse_5pct,200000,375,402,415.9,391.3
e226.mps,priceByRow,dense,22950,4022,4197,4357.4,1754.0
e226.mps,saxpy,a25_b1,500000,53,59,61.4,159.4
e226.mps,saxpy,a25_b5,500000,75,80,84.9,239.6
e226.mps,saxpy,a50_b25,500000,110,116,119.8,230.4
25fv47.mps,build,-,423,432546,469174,472822.9,27692.9
25fv47.mps,ftranCall,hyper_sparse,200000,148,155,165.1,261.6
25fv47.mps,ftranCall,sparse,15959,5854,6075,6266.4,1490.2
25fv47.mps,ftranCall,dense,10894,8352,8827,9180.1,1952.9
25fv47.mps,btranCall,hyper_sparse,12196,7442,7891,8200.0,2630.4
25fv47.mps,btranCall,sparse,16289,5735,5971,6139.2,1426.1
25fv47.mps,btranCall,dense,9622,9525,10017,10393.4,2297.4
25fv47.mps,product,colwise,13206,6952,7258,7572.4,1915.3
25fv47.mps,productTranspose,colwise,15030,6156,6253,6653.5,2271.9
25fv47.mps,priceByColumn,sparse_5pct,15297,6128,6196,6537.3,2034.3
25fv47.mps,priceByColumn,dense,14062,6783,6860,7111.5,1687.4
25fv47.mps,priceByRow,sparse_5pct,69647,1296,1391,1435.8,799.4
25fv47.mps,priceByRow,dense,4186,20608,22257,23891.0,5509.0
25fv47.mps,saxpy,a25_b1,500000,123,141,149.0,263.3
25fv47.mps,saxpy,a25_b5,500000,159,170,178.6,280.5
25fv47.mps,saxpy,a50_b25,241476,349,383,414.2,751.6
cplex1.mps,build,-,505,344433,385575,396552.4,43623.3
cplex1.mps,ftranCall,hyper_sparse,94078,921,990,1063.1,1071.6
cplex1.mps,ftranCall,sparse,21915,4174,4324,4563.2,1672.2
cplex1.mps,ftranCall,dense,4076,22736,23472,24541.2,3352.7
cplex1.mps,btranCall,hyper_sparse,23264,3794,4119,4298.6,1553.5
cplex1.mps,btranCall,sparse,8942,9359,10066,11183.9,7296.0
cplex1.mps,btranCall,dense,3414,25260,28394,29292.6,3917.4
cplex1.mps,product,colwise,9541,9247,9981,10481.7,2664.0
cplex1.mps,productTranspose,colwise,12800,7243,7579,7812.6,1563.0
cplex1.mps,priceByColumn,sparse_5pct,10726,8209,8923,9323.3,1934.7
cplex1.mps,priceByColumn,dense,8167,10330,11738,12245.3,2598.1
cplex1.mps,priceByRow,sparse_5pct,49352,1532,1947,2026.5,1396.2
cplex1.mps,priceByRow,dense,2738,33620,34574,36526.0,5401.9
cplex1.mps,saxpy,a25_b1,98875,859,942,1011.4,672.6
cplex1.mps,saxpy,a25_b5,93157,961,1018,1073.5,674.3
cplex1.mps,saxpy,a50_b25,54408,1701,1745,1838.0,980.4
greenbea.mps,build,-,282,587613,677494,710093.6,95999.3
greenbea.mps,ftranCall,hyper_sparse,123310,674,769,811.0,531.6
greenbea.mps,ftranCall,sparse,7420,12316,13078,13477.7,2243.5
greenbea.mps,ftranCall,dense,4158,22839,23514,24051.4,2545.2
greenbea.mps,btranCall,hyper_sparse,127610,683,761,783.6,506.0
greenbea.mps,btranCall,sparse,5964,15578,16120,16769.1,3259.3
greenbea.mps,btranCall,dense,3818,24399,25243,26192.3,4429.4
greenbea.mps,product,colwise,4145,22822,23565,24128.2,3055.3
greenbea.mps,productTranspose,colwise,4982,18774,19178,20074.4,4775.8
greenbea.mps,priceByColumn,sparse_5pct,5116,18662,18811,19549.0,3403.4
greenbea.mps,priceByColumn,dense,4398,21343,21528,22740.7,5128.1
greenbea.mps,priceByRow,sparse_5pct,21958,4099,4383,4554.3,1280.8
greenbea.mps,priceByRow,dense,1427,66183,66905,70103.6,7779.0
greenbea.mps,saxpy,a25_b1,134368,628,694,744.2,972.8
greenbea.mps,saxpy,a25_b5,130813,701,736,764.5,549.3
greenbea.mps,saxpy,a50_b25,65534,1385,1483,1525.9,709.3
